Druck[mbar], ΔDruck[mbar], Counts, mittl. Impulshöhe[V], Δmittl. Impulshöhe[V]
0.44,1.15,7552,62,1
200,10,7547,51,2
400,10,7512,41,2
600,10,7445,31,1
800,10,6629,15,2
820,10,5356,14.5,2
840,10,4001,14.5,0.5
840,10,3061,13.5,2
860,10,2396,13,2
880,10,1242,7,2
900,10,521,6.5,2
920,10,152,5,2
940,10,43,4,2
960,10,11,3.5,2
980,10,2,2.5,2
810,10,5978,14.5,2
