Druck[mbar], ΔDruck[mbar], Counts, mittl. Impulshöhe[V], Δmittl. Impulshöhe[V]
0.63,0.1,12667,47,3
200,10,12259,39,3
400,10,12023,28,2
600,10,10916,22,3
700,10,5627,20,3
760,10,2322,10,3
780,10,1166,7,3
800,10,764,6.5,3
820,10,319,4,3
840,10,198,3.5,3
860,10,118,2.5,3
900,10,15,2,3
620,10,10328,21,3
640,10,8702,19,3
660,10,7862,17.5,3
720,10,3984,13,3
740,10,2686,9,3
