Druck[mbar], ΔDruck[mbar], Counts, mittl. Impulshöhe[V], Δmittl. Impulshöhe[V]
0.82,0.1,4082,76,0.5
200,10,3992,64,1
400,10,3957,53,1
600,10,3930,37.5,1
800,10,3900,19,1
900,10,1184,6,1
910,10,37,5.5,1
920,10,4,5,0.5
940,10,0,2.5,0.5
850,10,3838,12.5,1
870,10,3162,9.5,1
880,10,2377,9,1
890,10,1499,8.5,1
