Druck[mbar], ΔDruck[mbar], Counts, mittl. Impulshöhe[V], Δmittl. Impulshöhe[V]
0.22,0.1,3645,75,1
200,10,3670,64,1
400,10,3694,51,1
600,10,3610,36,1
800,10,3472,14,1
810,10,3516,13,1
820,10,3406,12,1
830,10,3195,10,1
840,10,2453,9,1
840,10,2288,9,1
845,10,944,7.5,0.5
845,10,742,7.5,1
850,10,695,7.5,0.5
860,10,164,6.5,1
880,10,2,5,0.5
